                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.39892,                0.49005,                0.25763,                 0.8979,                0.99997,                0.99963,                  0.995,                0.97926,                0.99923,                0.99888,                0.99498,                0.93958,                 0.2568,                0.28552,                0.17329,                0.76567,              0.0086536,              0.0086536,              0.0086536
                     71,                 0.3901,                0.48381,                0.25307,                0.89359,                0.99955,                0.99963,                  0.995,                0.97949,                0.99955,                0.99963,                  0.995,                0.93995,                0.25625,                0.28526,                0.17242,                0.76526,              0.0086338,              0.0086338,              0.0086338
                     72,                0.39446,                0.48722,                0.25614,                0.89747,                0.99972,                0.99925,                  0.995,                0.97916,                0.99935,                0.99888,                0.99499,                0.94109,                0.25417,                0.28451,                0.17072,                0.76463,               0.008614,               0.008614,               0.008614
                     73,                0.39138,                0.48388,                0.25506,                0.89354,                 0.9992,                0.99963,                  0.995,                0.98008,                 0.9992,                0.99963,                  0.995,                 0.9416,                0.25443,                 0.2837,                0.17088,                0.76466,              0.0085942,              0.0085942,              0.0085942
                     74,                0.39013,                0.48379,                0.25363,                 0.8958,                      1,                0.99924,                  0.995,                0.98055,                      1,                0.99924,                  0.995,                0.94164,                0.25333,                0.28281,                 0.1702,                 0.7643,              0.0085744,              0.0085744,              0.0085744
                     75,                0.38622,                0.47971,                0.25222,                0.89313,                      1,                 0.9995,                  0.995,                0.98041,                      1,                 0.9995,                  0.995,                0.94249,                0.25233,                0.28184,                0.16958,                0.76396,              0.0085546,              0.0085546,              0.0085546
                     76,                0.38994,                 0.4851,                0.25378,                  0.895,                      1,                0.99961,                  0.995,                0.98105,                      1,                0.99961,                  0.995,                0.94326,                0.25134,                 0.2814,                0.16893,                0.76345,              0.0085348,              0.0085348,              0.0085348
                     77,                0.39243,                0.49293,                0.25507,                 0.8971,                0.99955,                0.99963,                0.99498,                0.98057,                0.99955,                0.99963,                0.99498,                0.94264,                0.25062,                0.28031,                0.16824,                0.76328,               0.008515,               0.008515,               0.008515
                     78,                0.38775,                0.47285,                0.25188,                0.89466,                0.99992,                0.99963,                  0.995,                0.98044,                0.99992,                0.99963,                  0.995,                0.94347,                0.25014,                0.27954,                0.16715,                0.76258,              0.0084952,              0.0084952,              0.0084952
                     79,                0.38695,                0.47889,                0.25363,                 0.8948,                0.99989,                0.99963,                  0.995,                0.98071,                0.99989,                0.99963,                  0.995,                0.94368,                0.24925,                0.27884,                0.16647,                0.76234,              0.0084754,              0.0084754,              0.0084754
                     80,                0.38374,                0.47283,                 0.2509,                0.89259,                0.99993,                0.99963,                  0.995,                0.98083,                0.99993,                0.99963,                  0.995,                0.94384,                0.24831,                 0.2784,                0.16578,                0.76206,              0.0084556,              0.0084556,              0.0084556
                     81,                0.38352,                0.47143,                0.25028,                0.89249,                0.99995,                0.99963,                  0.995,                0.98176,                0.99995,                0.99963,                  0.995,                0.94473,                0.24728,                0.27774,                0.16547,                0.76149,              0.0084358,              0.0084358,              0.0084358
                     82,                0.38227,                0.47626,                0.24917,                0.89235,                0.99996,                0.99963,                  0.995,                0.98221,                0.99996,                0.99963,                  0.995,                0.94479,                0.24654,                0.27746,                0.16535,                0.76108,               0.008416,               0.008416,               0.008416
                     83,                0.37939,                0.47181,                0.24902,                0.89078,                0.99997,                0.99963,                  0.995,                0.98235,                0.99997,                0.99963,                  0.995,                0.94524,                0.24572,                0.27685,                0.16426,                0.76062,              0.0083962,              0.0083962,              0.0083962
                     84,                0.37963,                0.46884,                0.24799,                0.89198,                0.99997,                0.99963,                  0.995,                 0.9823,                0.99997,                0.99963,                  0.995,                0.94532,                0.24463,                0.27629,                0.16387,                0.76012,              0.0083764,              0.0083764,              0.0083764
                     85,                0.37794,                0.46613,                0.24649,                0.89052,                0.99997,                0.99963,                  0.995,                0.98209,                0.99997,                0.99963,                  0.995,                 0.9451,                0.24427,                0.27623,                0.16386,                0.75988,              0.0083566,              0.0083566,              0.0083566
                     86,                0.37753,                0.46484,                 0.2451,                0.89105,                0.99996,                0.99963,                  0.995,                 0.9824,                0.99996,                0.99963,                  0.995,                0.94476,                0.24361,                0.27571,                0.16323,                0.75959,              0.0083368,              0.0083368,              0.0083368
                     87,                0.37969,                0.47473,                0.24598,                0.89155,                0.99993,                0.99963,                  0.995,                0.98191,                0.99993,                0.99963,                  0.995,                0.94487,                0.24294,                0.27528,                0.16302,                0.75937,               0.008317,               0.008317,               0.008317
                     88,                0.37622,                0.46925,                0.24707,                0.89018,                0.99993,                0.99963,                  0.995,                0.98239,                0.99993,                0.99963,                  0.995,                0.94492,                0.24271,                0.27492,                0.16243,                 0.7593,              0.0082972,              0.0082972,              0.0082972
                     89,                0.37893,                0.46792,                0.24707,                0.89077,                0.99993,                0.99963,                  0.995,                0.98222,                0.99993,                0.99963,                  0.995,                0.94534,                0.24206,                0.27469,                0.16174,                0.75907,              0.0082774,              0.0082774,              0.0082774
                     90,                 0.3766,                0.46486,                0.24771,                0.88917,                0.99995,                0.99963,                  0.995,                0.98256,                0.99995,                0.99963,                  0.995,                0.94552,                0.24182,                0.27437,                0.16203,                0.75899,              0.0082576,              0.0082576,              0.0082576
                     91,                0.37575,                0.46194,                0.24621,                 0.8922,                0.99995,                0.99963,                  0.995,                0.98217,                0.99995,                0.99963,                  0.995,                0.94544,                0.24138,                0.27385,                0.16129,                0.75877,              0.0082378,              0.0082378,              0.0082378
                     92,                 0.3741,                0.46228,                0.24694,                0.88772,                0.99995,                0.99963,                  0.995,                 0.9824,                0.99995,                0.99963,                  0.995,                0.94562,                0.24073,                0.27357,                0.16091,                 0.7584,               0.008218,               0.008218,               0.008218
                     93,                0.37777,                  0.463,                0.24779,                0.88903,                0.99995,                0.99963,                  0.995,                0.98258,                0.99995,                0.99963,                  0.995,                0.94547,                0.24007,                0.27332,                0.16063,                0.75813,              0.0081982,              0.0081982,              0.0081982
