                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.38362,                0.17933,                0.52269,                0.82457,                0.99687,                    0.8,                0.79539,                0.79531,                0.99687,                    0.8,                0.79941,                0.77886,                    nan,                0.11824,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     50,                0.36167,                0.14178,                0.50638,                0.80676,                0.99686,                    0.8,                0.79775,                0.79556,                0.99686,                    0.8,                0.79751,                0.77523,                    nan,                0.13179,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     51,                0.36509,                0.15807,                0.48706,                0.83017,                0.99692,                    0.8,                0.79708,                0.79548,                0.99692,                    0.8,                0.79748,                0.78936,                    nan,                0.12534,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     52,                0.39243,                0.15429,                0.49204,                0.83456,                0.99688,                    0.8,                0.79553,                0.79532,                0.99688,                    0.8,                0.79783,                0.77807,                    nan,                 0.1171,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     53,                0.34173,                0.12723,                0.48241,                 0.8418,                 0.9968,                    0.8,                0.79529,                0.79529,                 0.9968,                    0.8,                0.79718,                0.78623,                    nan,                0.10999,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     54,                0.39291,                0.14556,                0.50753,                0.82207,                0.99669,                    0.8,                0.79529,                0.78779,                0.99669,                    0.8,                0.79588,                0.78082,                    nan,                0.11286,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     55,                0.35927,                0.14221,                0.51009,                 0.8242,                0.99663,                    0.8,                0.79529,                0.77967,                0.99663,                    0.8,                0.79847,                0.78765,                    nan,                0.10896,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     56,                0.33552,                0.12413,                0.48201,                0.81032,                0.99669,                    0.8,                0.79529,                0.78623,                0.99669,                    0.8,                0.80041,                0.76962,                    nan,                0.11829,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     57,                0.36891,                0.15933,                0.48109,                 0.8124,                0.99685,                    0.8,                0.79529,                0.79529,                0.99685,                    0.8,                0.80159,                0.77065,                    nan,                 0.1231,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     58,                0.34709,                0.29236,                0.48412,                0.80054,                 0.9969,                    0.8,                0.79529,                0.79529,                 0.9969,                    0.8,                0.81986,                0.79747,                    nan,                0.10655,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
