                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.81907,                 2.2126,                0.81121,                0.97063,                0.88282,                0.75357,                0.95674,                0.67993,                0.76803,                0.66273,                0.75474,                0.32239,                    nan,                 2.5707,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     54,                0.78291,                 2.2827,                0.76583,                0.97277,                0.88834,                0.79578,                0.92505,                0.63727,                 0.8325,                0.74578,                 0.7697,                0.30182,                    nan,                 2.5972,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     55,                0.74134,                 2.1716,                0.74662,                0.93273,                0.88965,                0.80649,                0.96003,                0.63866,                0.77828,                0.70214,                0.72728,                0.24768,                    nan,                 2.8817,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     56,                0.81629,                 2.5617,                0.82366,                0.94203,                      1,                0.78713,                0.94683,                0.59212,                0.87419,                0.69517,                0.74401,                0.22341,                    nan,                  2.955,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     57,                0.79895,                 2.0747,                0.79811,                0.96845,                      1,                0.75283,                0.87691,                0.58554,                0.93357,                0.70283,                0.77319,                0.29441,                    nan,                 2.7257,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     58,                0.73456,                 2.3691,                0.74355,                0.93127,                      1,                0.38317,                0.52051,                0.40254,                0.86899,                0.33317,                0.42607,                0.20509,                    nan,                 2.6028,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     59,                0.76516,                 2.2344,                0.72684,                 0.9509,                      1,                0.34814,                0.51498,                0.41225,                0.85626,                0.29814,                0.42257,                0.20289,                    nan,                 2.6355,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     60,                0.70926,                 2.1722,                0.69109,                 0.9417,                      1,                0.36281,                0.70252,                0.52377,                0.86172,                0.31281,                0.51015,                0.23083,                    nan,                 3.1027,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     61,                0.76022,                 1.9987,                0.74428,                0.99751,                      1,                0.57307,                0.81541,                0.58698,                0.82517,                0.47307,                0.57755,                 0.2336,                    nan,                 3.1336,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     62,                0.69896,                 1.8686,                0.70927,                0.93709,                      1,                0.46441,                 0.9333,                0.63952,                0.89209,                0.41441,                0.79906,                0.32678,                    nan,                 2.6315,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     63,                0.80999,                 1.9734,                0.75553,                0.96135,                      1,                0.31217,                0.89213,                0.61001,                0.83913,                0.26217,                0.77627,                0.30117,                    nan,                 2.7218,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     64,                0.77608,                 1.9946,                0.75105,                0.96567,                      1,                0.31524,                0.93421,                0.66353,                0.84135,                0.26683,                0.80001,                0.31679,                    nan,                 2.8333,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     65,                0.68745,                 2.4737,                0.70334,                0.92084,                      1,                0.40026,                0.93559,                0.68331,                0.87628,                0.35461,                0.79217,                0.34094,                    nan,                 2.9356,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                     66,                0.81002,                 1.9323,                0.72661,                0.96211,                      1,                 0.4997,                0.91247,                 0.6401,                0.89993,                 0.4497,                0.74944,                0.35428,                    nan,                 2.9674,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.7997,                 1.9927,                0.75877,                0.95358,                0.90128,                   0.45,                0.89123,                0.62963,                0.80114,                    0.4,                0.72555,                0.34673,                    nan,                  2.865,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     68,                0.75464,                 2.2845,                0.69795,                0.93743,                0.70096,                 0.4697,                0.88071,                0.63393,                0.62621,                 0.4197,                0.71363,                0.36596,                    nan,                 2.7969,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     69,                0.66482,                 2.1552,                0.65506,                0.94286,                0.69254,                0.45053,                0.87196,                 0.6394,                0.61769,                0.40419,                0.69996,                0.37964,                    nan,                 2.7468,                    nan,                    nan,              0.0006734,              0.0006734,              0.0006734
                     70,                0.73653,                 1.9574,                0.70404,                0.91241,                0.57508,                 0.3391,                0.74514,                0.53432,                0.49402,                0.29343,                0.60209,                0.31684,                    nan,                 2.8367,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     71,                0.59773,                 1.8726,                 0.6126,                0.87565,                0.57247,                0.33566,                0.70767,                0.50424,                0.49367,                0.29304,                0.55217,                0.28849,                    nan,                 2.8122,                    nan,                    nan,              0.0006338,              0.0006338,              0.0006338
                     72,                0.64644,                 1.8636,                 0.6326,                0.90769,                  0.566,                0.32713,                0.66685,                0.48314,                  0.434,                   0.25,                0.51395,                0.26653,                    nan,                 2.6791,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     73,                0.65378,                 1.8852,                0.63519,                0.90046,                0.62155,                0.32963,                0.68524,                0.50555,                0.52693,                0.27963,                0.52306,                 0.2766,                    nan,                 2.6064,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                     74,                0.76268,                 2.2542,                0.69636,                0.94606,                 0.6109,                0.31498,                0.68945,                0.49192,                0.51362,                0.26498,                0.51824,                0.25252,                    nan,                 2.5083,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     75,                0.63288,                 1.8685,                0.58963,                0.92467,                0.98175,                    0.3,                0.50698,                0.34515,                0.81342,                   0.25,                0.39649,                 0.1733,                    nan,                 2.4886,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
                     76,                  0.563,                 1.8213,                0.60488,                0.87713,                0.97541,                    0.3,                0.49627,                0.33206,                0.80882,                   0.25,                0.37969,                0.15808,                    nan,                 2.5037,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     77,                0.64716,                 1.8867,                0.61906,                0.89672,                0.97906,                    0.3,                0.50525,                0.33428,                0.81321,                   0.25,                0.38746,                0.15696,                    nan,                 2.5191,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     78,                0.68189,                 1.8534,                0.70135,                0.93811,                0.97953,                    0.4,                0.64473,                  0.418,                0.85709,                   0.35,                0.51645,                0.24663,                    nan,                  2.474,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     79,                0.67085,                 1.6715,                0.62671,                0.93076,                      1,                0.38706,                0.68356,                0.45734,                0.87107,                0.33898,                 0.5626,                0.28442,                    nan,                 2.4447,                    nan,                    nan,              0.0004754,              0.0004754,              0.0004754
                     80,                0.63873,                 1.8535,                0.62475,                0.92478,                      1,                0.37322,                0.72948,                0.52362,                0.86544,                0.32322,                0.59446,                0.32745,                    nan,                 2.4222,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     81,                0.65518,                 2.0094,                0.62894,                0.92625,                0.88044,                   0.35,                0.67828,                0.48895,                 0.7366,                    0.3,                0.53832,                0.27886,                    nan,                 2.4466,                    nan,                    nan,              0.0004358,              0.0004358,              0.0004358
                     82,                0.66467,                   1.98,                  0.632,                0.89812,                      1,                0.35576,                 0.7293,                0.53229,                 0.8592,                0.30576,                0.58322,                0.30885,                    nan,                 2.4839,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     83,                0.68512,                 1.8787,                0.60335,                0.93937,                      1,                0.39044,                0.77827,                0.58088,                0.87421,                0.34779,                0.62473,                0.34861,                    nan,                  2.453,                    nan,                    nan,              0.0003962,              0.0003962,              0.0003962
                     84,                0.61728,                   1.82,                0.58823,                0.91604,                      1,                0.42038,                0.84896,                0.62978,                0.88066,                0.37038,                0.68759,                0.39219,                    nan,                 2.4329,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     85,                0.61738,                 1.8647,                0.59675,                0.91217,                      1,                0.43098,                0.87373,                0.65893,                0.88361,                0.38098,                 0.7084,                0.41145,                    nan,                 2.4253,                    nan,                    nan,              0.0003566,              0.0003566,              0.0003566
                     86,                0.64484,                 1.9566,                0.58464,                0.90217,                      1,                0.42892,                0.90329,                0.69897,                0.88303,                0.37892,                0.74588,                0.43887,                    nan,                 2.4692,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
